kaynak,doviz_adi,alis_fiyati,satis_fiyati,gunluk_degisim_yuzde,gunluk_degisim_tutari,guncellenme_tarihi
Kapalı Çarşı,Dolar,43.96,43.98,-0.16,0.0,2026-03-12T13:48:17.840Z
Kapalı Çarşı,Euro,50.6,50.65,-0.59,0.0,2026-03-12T13:48:17.509Z
Kapalı Çarşı,Sterlin,58.5466,58.8401,-0.64,0.0,2026-03-12T20:03:52.103Z
Kapalı Çarşı,İsviçre Frangı,55.8158,56.0956,-0.84,0.0,2026-03-12T20:03:55.373Z
Kapalı Çarşı,Japon Yeni,27.5192,27.6571,-0.43,0.0,2026-03-12T20:03:56.109Z
Kapalı Çarşı,Suudi Arabistan Riyali,11.6879,11.7465,-0.18,0.0,2026-03-12T19:58:48.592Z
Kapalı Çarşı,BAE Dirhemi,11.9407,12.0006,-0.17,0.0,2026-03-12T17:27:48.624Z
Kapalı Çarşı,Katar Riyali,12.0453,12.1057,-0.18,0.0,2026-03-12T19:53:48.593Z
Kapalı Çarşı,Kuveyt Dinarı,142.8248,143.5407,-0.23,0.0,2026-03-12T19:57:51.018Z
Kapalı Çarşı,Gürcistan Larisi,16.1547,16.2357,0.01,0.0,2026-03-12T18:21:13.939Z
